UPC,Title,Price (£),Rating,Genre,Availability,Description
ce6396b0f23f6ecc,Set Me Free,17.46,5,Young Adult,In stock,No description available
6258a1f6a6dcfe50,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,Spirituality,In stock,No description available
6be3beb0793a53e7,Sophie's World,15.94,5,Philosophy,In stock,No description available
657fe5ead67a7767,Untitled Collection: Sabbath Poems 2014,14.27,4,Poetry,In stock,No description available
51653ef291ab7ddc,This One Summer,19.49,4,Sequential Art,In stock,No description available
709822d0b5bcb7f4,Thirst,17.27,5,Fiction,In stock,No description available
0fa6dceead7ce47a,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,Sequential Art,In stock,No description available
0e691eda369f4e09,Princess Between Worlds (Wide-Awake Princess #5),13.34,5,Fantasy,In stock,No description available
889139b8e9c4cb36,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,Sequential Art,In stock,No description available
72f9d5be3472d34e,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,Food and Drink,In stock,No description available
9e28048cea8d41f7,First and First (Five Boroughs #3),15.97,4,Romance,In stock,No description available
7b599c8bfcdd8d30,Camp Midnight,17.08,4,Sequential Art,In stock,No description available
3bebf34ee9330cbd,The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,Business,In stock,No description available
f5a92cff83897d48,The Stranger,17.44,4,Philosophy,In stock,No description available
ca71e72655bece85,Something More Than This,16.24,4,Romance,In stock,No description available
31001a1210623bd4,Poems That Make Grown Women Cry,14.19,4,Poetry,In stock,No description available
88c21fcd38e2486e,Dark Notes,19.19,5,Erotica,In stock,No description available
47271d8e08b5d31c,Batman: The Dark Knight Returns (Batman),15.38,5,Sequential Art,In stock,No description available
d195e7f4ed697350,Agnostic: A Spirited Manifesto,12.51,5,Nonfiction,In stock,No description available
6a31307a81e8f3a8,Walt Disney's Alice in Wonderland,12.96,5,Childrens,In stock,No description available
ac8e3949d284e9a9,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,Sequential Art,In stock,No description available
02b74068fa98d8a4,Old School (Diary of a Wimpy Kid #10),11.83,5,Humor,In stock,No description available
708345c9897fd7c5,Lady Midnight (The Dark Artifices #1),16.28,5,Default,In stock,No description available
aeff7b87a8e83ebb,I Am Pilgrim (Pilgrim #1),10.6,4,Fiction,In stock,No description available
fbb21a2f71f4d981,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,Humor,In stock,No description available
f201f263d8c23f97,Greek Mythic History,10.23,5,Default,In stock,No description available
ac4dde0d1be05de0,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,Nonfiction,In stock,No description available
1d6dd0c87d90fe92,Eight Hundred Grapes,14.39,4,Fiction,In stock,No description available
94a958ea126cdcd5,Dear Mr. Knightley,11.21,5,Fiction,In stock,No description available
1e264c677d4ee4ae,City of Fallen Angels (The Mortal Instruments #4),11.23,4,Default,In stock,No description available
f732d7d18a91d2ba,The Epidemic (The Program 0.6),14.44,5,Young Adult,In stock,No description available
81ef44fcc5f454df,One with You (Crossfire #5),15.71,4,Add a comment,In stock,No description available
985991708c47003e,"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,Nonfiction,In stock,No description available
28b2df9fadc9f07e,"Mother, Can You Not?",16.89,5,Nonfiction,In stock,No description available
40c4bf520c17de54,A Gentleman's Position (Society of Gentlemen #3),14.75,5,Romance,In stock,No description available
65cfc9f242c2984a,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,Food and Drink,In stock,No description available
ee6c67859d70186b,"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4,Default,In stock,No description available
aeb51dfbe8aeec59,Roller Girl,14.1,5,Sequential Art,In stock,No description available
8a150fd8ff5d7686,History of Beauty,10.29,4,Art,In stock,No description available
